DrugDDI.d0.s0.e0	DrugDDI.d0.s0.e1	0
DrugDDI.d9.s0.e0	DrugDDI.d9.s0.e1	0
DrugDDI.d9.s2.e0	DrugDDI.d9.s2.e1	0
DrugDDI.d9.s5.e0	DrugDDI.d9.s5.e1	0
DrugDDI.d9.s5.e0	DrugDDI.d9.s5.e2	0
DrugDDI.d9.s5.e1	DrugDDI.d9.s5.e2	0
DrugDDI.d12.s0.e0	DrugDDI.d12.s0.e1	1
DrugDDI.d12.s1.e0	DrugDDI.d12.s1.e1	1
DrugDDI.d12.s1.e0	DrugDDI.d12.s1.e2	1
DrugDDI.d12.s1.e0	DrugDDI.d12.s1.e3	1
DrugDDI.d12.s1.e1	DrugDDI.d12.s1.e2	0
DrugDDI.d12.s1.e1	DrugDDI.d12.s1.e3	0
DrugDDI.d12.s1.e2	DrugDDI.d12.s1.e3	0
DrugDDI.d15.s0.e0	DrugDDI.d15.s0.e1	0
DrugDDI.d15.s0.e0	DrugDDI.d15.s0.e2	0
DrugDDI.d15.s0.e0	DrugDDI.d15.s0.e3	0
DrugDDI.d15.s0.e0	DrugDDI.d15.s0.e4	0
DrugDDI.d15.s0.e0	DrugDDI.d15.s0.e5	0
DrugDDI.d15.s0.e0	DrugDDI.d15.s0.e6	0
DrugDDI.d15.s0.e1	DrugDDI.d15.s0.e2	0
DrugDDI.d15.s0.e1	DrugDDI.d15.s0.e3	0
DrugDDI.d15.s0.e1	DrugDDI.d15.s0.e4	0
DrugDDI.d15.s0.e1	DrugDDI.d15.s0.e5	0
DrugDDI.d15.s0.e1	DrugDDI.d15.s0.e6	0
DrugDDI.d15.s0.e2	DrugDDI.d15.s0.e3	0
DrugDDI.d15.s0.e2	DrugDDI.d15.s0.e4	0
DrugDDI.d15.s0.e2	DrugDDI.d15.s0.e5	0
DrugDDI.d15.s0.e2	DrugDDI.d15.s0.e6	0
DrugDDI.d15.s0.e3	DrugDDI.d15.s0.e4	0
