"FileName","Precipitant Type","Precipitant","Precipitant Annotator","Precipitant Span Start","Precipitant Span End","Object Type","Object","Object Annotator","Metabolite Active Ingredient","Object Span Start","Object Span End","Modality","Interaction Phrase Type","Interaction Phrase","Interaction Phrase Annotator","Interaction Phrase Span Start","Interaction Phrase Span End"
"package-insert-section-1.txt","Active ingredient","tenofovir ","consensus set annotator team",367,376,"Active ingredient","didanosine ","consensus set annotator team",,318,328,"Positive","Qualitative","Exposure to didanosine is increased ","consensus set annotator team",306,341
"package-insert-section-100.txt","Active ingredient","Carbamazepine ","consensus set annotator team",45,58,"Active ingredient","alprazolam ","consensus set annotator team",,138,148,"Positive","Qualitative","increase alprazolam metabolism ","consensus set annotator team",63,93
"package-insert-section-102.txt","Active ingredient","metoclopramide ","consensus set annotator team",802,816,"Active ingredient","digoxin ","consensus set annotator team",,824,831,"Positive","Qualitative","Absorption of drugs from the stomach may be diminished ","consensus set annotator team",744,798
"package-insert-section-102.txt","Active ingredient","metoclopramide ","consensus set annotator team",802,816,"Active ingredient","levodopa ","consensus set annotator team",,962,970,"Positive","Qualitative","the rate and/or extent of absorption of drugs from the small bowel may be increased ","consensus set annotator team",842,925
"package-insert-section-102.txt","Active ingredient","metoclopramide ","consensus set annotator team",802,816,"Active ingredient","ethanol ","consensus set annotator team",,972,979,"Positive","Qualitative","the rate and/or extent of absorption of drugs from the small bowel may be increased ","consensus set annotator team",842,925
"package-insert-section-102.txt","Active ingredient","metoclopramide ","consensus set annotator team",802,816,"Active ingredient","cyclosporine ","consensus set annotator team",,981,993,"Positive","Qualitative","the rate and/or extent of absorption of drugs from the small bowel may be increased ","consensus set annotator team",842,925
"package-insert-section-102.txt","Active ingredient","metoclopramide ","consensus set annotator team",802,816,"Active ingredient","tetracycline ","consensus set annotator team",,948,960,"Positive","Qualitative","the rate and/or extent of absorption of drugs from the small bowel may be increased ","consensus set annotator team",842,925
"package-insert-section-102.txt","Active ingredient","metoclopramide ","consensus set annotator team",802,816,"Active ingredient","acetaminophen ","consensus set annotator team",,933,946,"Positive","Qualitative","the rate and/or extent of absorption of drugs from the small bowel may be increased ","consensus set annotator team",842,925
"package-insert-section-104.txt","Active ingredient","conivaptan ","consensus set annotator team",877,887,"Active ingredient","amlodipine ","consensus set annotator team",,978,988,"Positive","Quantitative","a 2-fold increase in the AUC and half-life ","consensus set annotator team",932,974
"package-insert-section-104.txt","Active ingredient","conivaptan ","consensus set annotator team",1125,1135,"Active ingredient","digoxin ","consensus set annotator team",,1078,1085,"Positive","Quantitative","a 30% reduction in clearance and 79% and 43% increases in digoxin Cmax and AUC ","consensus set annotator team",1180,1258
"package-insert-section-104.txt","Drug product","VAPRISOL ","consensus set annotator team",1333,1341,"Active ingredient","warfarin ","consensus set annotator team",,1406,1414,"Positive","Quantitative","increased the mean S-warfarin AUC and S-warfarin Cmax by 14% and 17%, respectively ","consensus set annotator team",1490,1572
"package-insert-section-104.txt","Active ingredient","furosemide ","consensus set annotator team",1821,1831,"Active ingredient","conivaptan ","consensus set annotator team",,1727,1737,"Negative","Qualitative","The pharmacokinetics of oral conivaptan (20 - 40 mg/day) were unchanged ","consensus set annotator team",1698,1769
"package-insert-section-104.txt","Drug product","VAPRISOL ","consensus set annotator team",796,804,"Active ingredient","simvastatin ","consensus set annotator team",,859,870,"Positive","Quantitative","resulted in a 3-fold increase in the AUC of simvastatin ","consensus set annotator team",815,870
