z,Precipitant Type,Precipitant,Precipitant Annotator,Precipitant Span Start,Precipitant SpanEnd,Object Type,Object,Object Annotator,Metabolite,Object Span Start,Object Span End,Modality,Interaction Phrase Type,Interaction Phrase,Interaction Phrase Annotator,Interaction Phrase Span Start,Interaction Phrase Span End
package-insert-section-1.txt,Active ingredient,tenofovir ,consensus set annotator team,367,376,Active ingredient,didanosine ,consensus set annotator team,,318,328,Positive,Qualitative,"Exposure to didanosine is increased when coadministered with tenofovir disoproxil fumarate [Table 5 and see Clinical Pharmacokinetics (12.3, Tables 9 and 10)].",consensus set annotator team,306,341
package-insert-section-100.txt,Active ingredient,Carbamazepine ,consensus set annotator team,45,58,Active ingredient,alprazolam ,consensus set annotator team,,138,148,Positive,Qualitative,"Drugs demonstrated to be inducers of CYP3A

 Carbamazepine can increase alprazolam metabolism and therefore can decrease plasma levels of alprazolam. ",consensus set annotator team,63,93
package-insert-section-102.txt,Active ingredient,metoclopramide ,consensus set annotator team,802,816,Active ingredient,digoxin ,consensus set annotator team,,824,831,Positive,Qualitative,"7.3 Drug Absorption

Absorption of drugs from the stomach may be diminished by metoclopramide (e.g., digoxin), whereas the rate and/or extent of absorption of drugs from the small bowel may be increased (e.g., acetaminophen, tetracycline, levodopa, ethanol, cyclosporine).",consensus set annotator team,744,798
package-insert-section-102.txt,Active ingredient,metoclopramide ,consensus set annotator team,802,816,Active ingredient,levodopa ,consensus set annotator team,,962,970,Positive,Qualitative,"7.3 Drug Absorption

Absorption of drugs from the stomach may be diminished by metoclopramide (e.g., digoxin), whereas the rate and/or extent of absorption of drugs from the small bowel may be increased (e.g., acetaminophen, tetracycline, levodopa, ethanol, cyclosporine).",consensus set annotator team,842,925
package-insert-section-102.txt,Active ingredient,metoclopramide ,consensus set annotator team,802,816,Active ingredient,ethanol ,consensus set annotator team,,972,979,Positive,Qualitative,"7.3 Drug Absorption

Absorption of drugs from the stomach may be diminished by metoclopramide (e.g., digoxin), whereas the rate and/or extent of absorption of drugs from the small bowel may be increased (e.g., acetaminophen, tetracycline, levodopa, ethanol, cyclosporine).",consensus set annotator team,842,925
package-insert-section-102.txt,Active ingredient,metoclopramide ,consensus set annotator team,802,816,Active ingredient,cyclosporine ,consensus set annotator team,,981,993,Positive,Qualitative,"7.3 Drug Absorption

Absorption of drugs from the stomach may be diminished by metoclopramide (e.g., digoxin), whereas the rate and/or extent of absorption of drugs from the small bowel may be increased (e.g., acetaminophen, tetracycline, levodopa, ethanol, cyclosporine).",consensus set annotator team,842,925
package-insert-section-102.txt,Active ingredient,metoclopramide ,consensus set annotator team,802,816,Active ingredient,tetracycline ,consensus set annotator team,,948,960,Positive,Qualitative,"7.3 Drug Absorption

Absorption of drugs from the stomach may be diminished by metoclopramide (e.g., digoxin), whereas the rate and/or extent of absorption of drugs from the small bowel may be increased (e.g., acetaminophen, tetracycline, levodopa, ethanol, cyclosporine).",consensus set annotator team,842,925
package-insert-section-102.txt,Active ingredient,metoclopramide ,consensus set annotator team,802,816,Active ingredient,acetaminophen ,consensus set annotator team,,933,946,Positive,Qualitative,"7.3 Drug Absorption

Absorption of drugs from the stomach may be diminished by metoclopramide (e.g., digoxin), whereas the rate and/or extent of absorption of drugs from the small bowel may be increased (e.g., acetaminophen, tetracycline, levodopa, ethanol, cyclosporine).",consensus set annotator team,842,925
package-insert-section-104.txt,Active ingredient,ketoconazole ,consensus set annotator team,267,279,Active ingredient,conivaptan ,consensus set annotator team,,231,241,Positive,Quantitative,"Coadministration of oral conivaptan hydrochloride 10 mg with ketoconazole 200 mg resulted in 4- and 11-fold increases in Cmax and AUC of conivaptan, respectively [see Contraindications (4.2)].",consensus set annotator team,287,339
package-insert-section-104.txt,Drug product,VAPRISOL ,consensus set annotator team,648,656,Active ingredient,midazolam ,consensus set annotator team,,771,780,Positive,Quantitative,"VAPRISOL 40 mg/day increased the mean AUC values by approximately 2- and 3-fold for 1 mg intravenous or 2 mg oral doses of midazolam, respectively.",consensus set annotator team,667,727
package-insert-section-104.txt,Drug product,VAPRISOL ,consensus set annotator team,796,804,Active ingredient,simvastatin ,consensus set annotator team,,859,870,Positive,Quantitative,VAPRISOL 30 mg/day resulted in a 3-fold increase in the AUC of simvastatin.,consensus set annotator team,815,870
package-insert-section-104.txt,Active ingredient,conivaptan ,consensus set annotator team,877,887,Active ingredient,amlodipine ,consensus set annotator team,,978,988,Positive,Quantitative,Oral conivaptan hydrochloride 40 mg twice daily resulted in a 2-fold increase in the AUC and half-life of amlodipine [see Warnings and Precautions (5.3)].,consensus set annotator team,932,974
package-insert-section-104.txt,Active ingredient,conivaptan ,consensus set annotator team,1125,1135,Active ingredient,digoxin ,consensus set annotator team,,1078,1085,Positive,Quantitative,"7.2 Digoxin

Coadministration of a 0.5 mg dose of digoxin, a P-glycoprotein substrate, with oral conivaptan hydrochloride 40 mg twice daily resulted in a 30% reduction in clearance and 79% and 43% increases in digoxin Cmax and AUC values, respectively [see Warnings and Precautions (5.4)].",consensus set annotator team,1180,1258
package-insert-section-104.txt,Drug product,VAPRISOL ,consensus set annotator team,1333,1341,Active ingredient,warfarin ,consensus set annotator team,,1406,1414,Positive,Quantitative,"7.3 Warfarin

VAPRISOL (40 mg/day for 4 days) administered with a single 25 mg dose of warfarin, which undergoes major metabolism by CYP2C9 and minor metabolism by CYP3A, increased the mean S-warfarin AUC and S-warfarin Cmax by 14% and 17%, respectively.",consensus set annotator team,1490,1572
package-insert-section-104.txt,Active ingredient,captopril ,consensus set annotator team,1802,1811,Active ingredient,conivaptan ,consensus set annotator team,,1727,1737,Negative,Qualitative,"7.4 Captopril and Furosemide

The pharmacokinetics of oral conivaptan (20 - 40 mg/day) were unchanged with coadministration of either captopril 25 mg or furosemide up to 80 mg/day.",consensus set annotator team,1698,1769
package-insert-section-104.txt,Active ingredient,furosemide ,consensus set annotator team,1821,1831,Active ingredient,conivaptan ,consensus set annotator team,,1727,1737,Negative,Qualitative,"7.4 Captopril and Furosemide

The pharmacokinetics of oral conivaptan (20 - 40 mg/day) were unchanged with coadministration of either captopril 25 mg or furosemide up to 80 mg/day.",consensus set annotator team,1698,1769
package-insert-section-106.txt,Active ingredient,quinidine ,consensus set annotator team,444,453,Active ingredient,metoprolol ,consensus set annotator team,,518,528,Positive,Qualitative,"7.2 CYP2D6 Inhibitors

Drugs that inhibit CYP2D6 such as quinidine, fluoxetine, paroxetine, and propafenone are likely to increase metoprolol concentration.",consensus set annotator team,495,517
package-insert-section-106.txt,Active ingredient,fluoxetine ,consensus set annotator team,455,465,Active ingredient,metoprolol ,consensus set annotator team,,518,528,Positive,Qualitative,"7.2 CYP2D6 Inhibitors

Drugs that inhibit CYP2D6 such as quinidine, fluoxetine, paroxetine, and propafenone are likely to increase metoprolol concentration.",consensus set annotator team,495,517
package-insert-section-106.txt,Active ingredient,paroxetine ,consensus set annotator team,467,477,Active ingredient,metoprolol ,consensus set annotator team,,518,528,Positive,Qualitative,"7.2 CYP2D6 Inhibitors

Drugs that inhibit CYP2D6 such as quinidine, fluoxetine, paroxetine, and propafenone are likely to increase metoprolol concentration.",consensus set annotator team,495,517
package-insert-section-106.txt,Active ingredient,propafenone ,consensus set annotator team,483,494,Active ingredient,metoprolol ,consensus set annotator team,,518,528,Positive,Qualitative,"7.2 CYP2D6 Inhibitors

Drugs that inhibit CYP2D6 such as quinidine, fluoxetine, paroxetine, and propafenone are likely to increase metoprolol concentration.",consensus set annotator team,495,517
